什么是attributiveadjectives？,用来表示名词属性的形容词。
什么是形容词的比较级？,形容词的比较级是“大于、小于、等于”这三种逻辑关系的表现方式。
形容词和副词都有哪些修饰语？,形容词和副词都有比较级和最高级作修饰语。
形容词的比较级的拼法有哪些原则？,单音节形容词在词尾变化，三个音节以上的形容词分成两个词处理。双音节形容词如果词尾是典型的形容词词尾，应保留词尾不变，分成两个词处理，否则变化无限制。-y结尾的形容词要先变成短母音的i再加字尾变化
什么情况下需要加定冠词？,当形容词位于名词短语中，或者比较级有明确的指示性时需要加定冠词
定冠词的判断依据是什么？,定冠词的判断依据是名词短语中是否出现形容词，补语位置的形容词不存在于名词短语中，不需要定冠词。而当形容词出现在名词短语中，并且有指示性质时，需要加上定冠词
在比较级句子中，为什么要用对称工整的表达方式？举例说明。,"因为比较级要求对称工整，包括比较的对象在内，否则可能会导致误解。例如，句子""Mycar is bigger than you.""就有问题，应该改为""Mycar is bigger than yours.""。如果有标示差别的字眼在后面，就不能省略比较对象的名词，例如""Cars made in Taiwan are better than those made in Korea.""中的those。如果要避免重复又不能省略名词，可以使用代名词来取代。此外，在一些情况下，可以使用倒装句法来避免重复和增加句子的清晰度"
在比较级句子中，为什么需要对称工整？,为了包括比较的对象在内，比较级的句子要求对称工整。
在比较级句子中，如何使用that和those？,当存在标示差别的字眼后，需要用限定词those来取代被省略的重复名词，代表后面的内容。什么是“superior to”的意思？,“superior to”表示某物比另一物更好、更强或更优秀
英语在当今世界中的地位是什么？,广泛使用的语言，国际交流与合作的重要沟通工具之一，传播人类文明成果的载体之一。
英语对于个人和国家的重要性是什么？,有利于了解文化异同、树立国际视野、涵养家国情、形成正确的人生观和价值观。
义务教育英语课程的特点是什么？,体现工具性和人文性的统一、具有基础性、实践性和综合性特点。
学习和运用英语能对学生的能力产生什么影响？,有助于形成跨文化沟通交流的意识和能力，学会客观、理性看待世界，涵养文化自信，并为生涯发展打下基础
英语课程的指导思想是什么？,以新代时中国特色社会主义思想为指导，全面贯彻党教育的方针，实现立德树人根本任务，培养有理想、有本领、有担当的代时新人。
英语课程的课程目标是什么？,围绕核心素养确定课程目标，选择创新教学方式，改进考试评价，指导教材建设，以培养有理想、有本领、有担当的代时新人为出发点和落脚点。
英语课程的内容组织方式是什么？,主题引领为选择和组织课程内容，以不同类型的语篇为依托，融语言入知识、文化知识、语言技能和习学策略等学习要求，以单元形式的呈现。
英语课程注重哪些习学活动？,注重思学结合、用学本为的英语习学活动观，围绕真实情境和真实问题，激活已知，参到与指向主题意义探究的习学理解、应用实践和迁移创新等系列相互关联、循环递进的语言学习和运用活动。
英语课程的评价体系如何建立？,建立以评促学、以评促教，将评价贯穿英语课程教与学全的过程。注重发挥生学的主观能动性，引导学生成为评价活动的设计者、参与者和合作者，自觉运用评价结果改进学习。
英语课程中信息技术的应用有哪些？,重视教育信息化背景下英语课程教与学方式的变革，充分发挥现代信息技术对英语课程教与学支持的服务与功能，鼓励教师合理利用、创新使用数字技术和在线教学平台，开展线上线下融合的教学，为满足学生个性化学习要求提供支撑，促进义务教育均衡发展
什么是核心素养？,核心素养是个人终身发展和社会发展需要的正确价值观、品格和能力。
英语课程要培养哪些核心素养？,英语课程要培养语言能力、文化意识、思维品质和学习能力等核心素养。
核心素养之间有什么关联？,核心素养的四个方面相互渗透、融合互动，协同发展。
什么是语言能力？,语言能力指运用语言和非语言知识以及各种策略，在特定情境下相关主题语言的活动表现，包括理解和表达能力。
文化意识的培育有什么作用？,文化意识的培育有助于学生增强家国情怀和人类命运共同体意识，涵养品格，提升文明素养和社会责任感。
什么是思维品质？,思维品质是指人的思维个性特征，反映在理解、分析、比较、推断、批判、评价、创造等方面的层次和水平。
学习能力的发展有什么作用？,学习能力的发展有助于学生掌握学习的方法，养成良好的终身学习习惯。
总括英语课程的目标是什么？,总体上，英语课程的目标是培养学生的语言能力、文化意识、思维品质和学习能力方面的核心素养
学目标段是什么？,学目标段是指学生在一定学段内应该达到的学习目标。
学目标段分为几个级别？,学目标段分为三个级别，分别是一建议级、二建议级和三建议级。
一建议级适用于哪个学段？,一建议级适用于3~4年级学段。
二建议级适用于哪个学段？,二建议级适用于5~6年级学段。
三建议级适用于哪个学段？,三建议级适用于7~9年级学段。
学目标段之间具有哪些特点？,学目标段之间具有连续性、顺序性和进阶性。
核心素养包括哪些方面？,核心素养包括思维技能、学习技能、社会情感和实践能力四个方面。
英语课程的学目标段有哪些级别？,英语课程的学目标段有一建议级、二建议级和三建议级三个级别。
学生应该在哪个学段达到一建议级的学目标？,学生应该在3~4年级学段内达到一建议级的学目标。
学生应该在哪个学段达到二建议级的学目标？,学生应该在5~6年级学段内达到二建议级的学目标。
学生应该在哪个学段达到三建议级的学目标？,学生应该在7~9年级学段内达到三建议级的学目标
英语课程内容的六大要素有哪些？,主题、语篇、语言知识、文化知识、语言技能和学习策略。
主题在英语学习中的作用是什么？,提供语境范畴，统领其他内容要素。
什么是语篇？,表达主题的语言知识和文化知识的呈现方式。
语言知识在英语学习中扮演什么角色？,提供语言要素，用于语篇构成和意义表达。
文化知识在英语学习中的作用是什么？,提供内容资源，营造人文底蕴，培养科学精神，形成正确的价值观。
语言技能在英语学习中的重要性是什么？,提供获取信息、建构知识、表达思想和交流情感等途径。
学习策略在英语学习中的作用是什么？,提高学习效率，提升学习效果，为学生提供具体的方式和方法。
预备级的英语课程内容适合哪个年级的学生？,适合1-2年级的学生。
教学内容的选择是否需要针对学生的实际水平进行调整？,需要，根据学生的实际水平，按英语课程的级别要求进行必要的调整。
英语课程内容分几个级别？,分三个级别：一级、二级、三级
义务教育区劳课程林准（2022年版）的主题包括哪些范畴？,人与自我、人与社会、人与自然。
义务教育区劳课程林准（2022年版）的主题群有哪些？,生活与学习、做人与做事、社会服务与人际沟通、文学、艺术与体育、历史社会与文化、科学与技术、自然生态、环境保护、灾害防范、宇宙探索。
义务教育区劳课程林准（2022年版）的语篇类型有哪些？,连续性文本、连续非性文本。
义务教育区劳课程林准（2022年版）的语篇类型可分为哪些模态？,文字、音、频视、频数码等模态。
义务教育区劳课程林准（2022年版）中的语言知识包含哪些方面？,语音、词汇、语法、语篇和语用知识。
义务教育区劳课程林准（2022年版）中的语音知识包括哪些方面？,元音、辅音、重音、音意群、语调节奏等。
义务教育区劳课程林准（2022年版）中的词汇知识包含哪些方面？,单词、音形、义、构词法的知识。
义务教育区劳课程林准（2022年版）中的语法知识包含哪些方面？,词法知识和句法知识。
义务教育区劳课程林准（2022年版）中的语篇知识包含哪些方面？,如何构成、如何表达意义、使用语言将组织意义为连贯的篇章等方面。
义务教育区劳课程林准（2022年版）中的语用知识的作用是什么？,帮助学生根据交流的需要选择当恰的语类篇型、设计合理的语篇结构、规划语篇的组成部分、保持语篇的衔接和连贯，提升有效运用英语的能力和灵活应变的能力
文化知识包括哪些方面？,既包括物质文化如饮食、服饰、建筑交通，也包括非物质文化如哲学、科学、历史、语言、文学、艺术、教育。
学习语言技能中的“看”通常指什么？,利用多模态语言篇的图形、表格、动画、画符号等，以视频形式理解信息的技能。
语言技能中的理解和表达分别包括哪些方面？,理解包括听、读、看，表达包括说、写。
学习策略主要包括哪些方面？,认知元策略、认知策略、交际策略、情感管理策略。
学习策略对学生的学习有哪些帮助？,学习策略能帮助学生提升自主学习能力、提高学习效率、改善学习情绪、增强交际效果
